マンション名,住所,築年数,階層,賃料料,管理費,間取り,専有面積,詳細URL,敷金,礼金,路線1,駅1,階1,間取りDK,間取りK,間取りL,間取りS,区,市町村,予測値との差,予測値,賃料料+管理費
東京メトロ丸ノ内線 新宿御苑前駅 13階建 新築,東京都新宿区四谷４,0,5階,198000.0,20000,1,37.222,https://suumo.jp/chintai/jnc_000080591530/?bc=100317692700,0.0,0.0,東京メトロ丸ノ内線,新宿御苑前駅,5.0,1,0,1,0,新宿区,四谷４,137167.2333317125,80832.76666828753,218000.0
リーブルグラント西新宿イースト,東京都新宿区西新宿８,4,13階,260000.0,20000,2,542.0,https://suumo.jp/chintai/jnc_000080583028/?bc=100310378368,260000.0,260000.0,東京メトロ丸ノ内線,西新宿駅,13.0,1,0,1,0,新宿区,西新宿８,137387.02092570142,142612.97907429858,280000.0
プライムメゾン市谷山伏町,東京都新宿区市谷山伏町,8,11階,230000.0,15000,1,50.032,https://suumo.jp/chintai/jnc_000077751666/?bc=100302408035,230000.0,0.0,都営大江戸線,牛込柳町駅,11.0,1,0,1,0,新宿区,市谷山伏町,137398.6401998897,107601.35980011031,245000.0
THE CENTER TOKYO,東京都新宿区市谷本村町,16,16階,250000.0,15000,1,60.62,https://suumo.jp/chintai/jnc_000079138490/?bc=100317444109,250000.0,250000.0,都営新宿線,曙橋駅,16.0,1,0,1,1,新宿区,市谷本村町,137413.05580575851,127586.9441942415,265000.0
ＪＲ総武線 大久保駅 7階建 築4年,東京都新宿区百人町２,4,2階,260000.0,0,2,54.552,https://suumo.jp/chintai/jnc_000080466386/?bc=100316975857,260000.0,260000.0,ＪＲ総武線,大久保駅,2.0,1,0,1,0,新宿区,百人町２,137641.979920144,122358.02007985601,260000.0
カスタリア新宿夏目坂,東京都新宿区喜久井町,18,4階,231000.0,8000,1,502.0,https://suumo.jp/chintai/jnc_000049783917/?bc=100312008700,231000.0,0.0,東京メトロ東西線,早稲田駅,4.0,1,0,1,0,新宿区,喜久井町,137785.8079014442,101214.19209855578,239000.0
西新宿ダイヤモンドパレス,東京都新宿区西新宿３,43,9階,200000.0,10000,1,62.582,https://suumo.jp/chintai/jnc_000079762380/?bc=100313026322,400000.0,0.0,ＪＲ山手線,新宿駅,9.0,0,0,0,0,新宿区,西新宿３,137929.2195245666,72070.7804754334,210000.0
トレステージ四谷,東京都新宿区左門町,15,10階,262000.0,12000,1,64.932,https://suumo.jp/chintai/jnc_000079478621/?bc=100315922664,262000.0,262000.0,東京メトロ丸ノ内線,四谷三丁目駅,10.0,1,0,1,0,新宿区,左門町,137972.95481721553,136027.04518278447,274000.0
ボルト東新宿,東京都新宿区大久保２,15,10階,220000.0,10000,1,502.0,https://suumo.jp/chintai/jnc_000079195221/?bc=100310207809,440000.0,220000.0,都営大江戸線,東新宿駅,10.0,1,0,1,0,新宿区,大久保２,138014.066110201,91985.933889799,230000.0
都営大江戸線 西新宿五丁目駅 地下4地上44階建 築16年,東京都新宿区西新宿６,16,22階,270000.0,18000,1,51.782,https://suumo.jp/chintai/jnc_000079433254/?bc=100311353678,270000.0,270000.0,都営大江戸線,西新宿五丁目駅,22.0,1,0,1,0,新宿区,西新宿６,138045.9150024516,149954.0849975484,288000.0
東京メトロ丸ノ内線 新宿御苑前駅 13階建 新築,東京都新宿区四谷４,0,7階,200000.0,20000,1,37.222,https://suumo.jp/chintai/jnc_000080591534/?bc=100317692743,0.0,0.0,東京メトロ丸ノ内線,新宿御苑前駅,7.0,1,0,1,0,新宿区,四谷４,138193.24347090878,81806.7565290912,220000.0
クレアシティ神楽坂・若宮町,東京都新宿区若宮町,21,7階,240000.0,0,2,56.162,https://suumo.jp/chintai/jnc_000080613176/?bc=100317771369,240000.0,240000.0,東京メトロ南北線,飯田橋駅,7.0,1,0,1,0,新宿区,若宮町,138260.24006413814,101739.75993586188,240000.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,東京都新宿区四谷４,0,5階,262000.0,10000,1,38.172,https://suumo.jp/chintai/jnc_000080197648/?bc=100316828750,262000.0,262000.0,東京メトロ丸ノ内線,四谷三丁目駅,5.0,1,0,1,0,新宿区,四谷４,138325.2265033273,133674.7734966727,272000.0
ジオ新宿百人町,東京都新宿区百人町２,4,2階,260000.0,0,2,54.552,https://suumo.jp/chintai/jnc_000080424292/?bc=100313455472,260000.0,260000.0,ＪＲ中央線,大久保駅,2.0,1,0,1,0,新宿区,百人町２,138439.81567279785,121560.18432720214,260000.0
ラ・ヴニール目白,東京都新宿区下落合３,29,3階,212000.0,8000,1,56.332,https://suumo.jp/chintai/jnc_000080156136/?bc=100315310871,212000.0,0.0,ＪＲ山手線,目白駅,3.0,1,0,1,0,新宿区,下落合３,138447.80910944298,81552.190890557,220000.0
東京メトロ丸ノ内線 西新宿駅 地下1地上20階建 築12年,東京都新宿区北新宿２,12,5階,230000.0,0,1,48.072,https://suumo.jp/chintai/jnc_000078741469/?bc=100316766281,230000.0,230000.0,東京メトロ丸ノ内線,西新宿駅,5.0,1,0,1,0,新宿区,北新宿２,138940.12823006764,91059.87176993236,230000.0
東京メトロ南北線 市ケ谷駅 地下1地上13階建 築2年,東京都新宿区南山伏町,2,4階,193000.0,15000,1,40.012,https://suumo.jp/chintai/jnc_000074915680/?bc=100286678564,193000.0,0.0,東京メトロ南北線,市ケ谷駅,4.0,1,0,1,0,新宿区,南山伏町,139024.6403006987,68975.35969930132,208000.0
ガーデンクレスト,東京都新宿区大京町,16,3階,194000.0,10000,2,50.232,https://suumo.jp/chintai/jnc_000080119205/?bc=100315014867,194000.0,291000.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,0,0,新宿区,大京町,139152.14730411163,64847.852695888374,204000.0
ＪＲ総武線 四ツ谷駅 7階建 築3年,東京都新宿区四谷坂町,3,3階,220000.0,20000,1,44.942,https://suumo.jp/chintai/jnc_000080318707/?bc=100316093635,0.0,0.0,ＪＲ総武線,四ツ谷駅,3.0,1,0,1,0,新宿区,四谷坂町,139206.91614756873,100793.08385243126,240000.0
マナハウス四谷,東京都新宿区愛住町,26,5階,245000.0,0,1,50.352,https://suumo.jp/chintai/jnc_000079364293/?bc=100310990319,245000.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,5.0,1,0,1,0,新宿区,愛住町,139481.90979659735,105518.09020340265,245000.0
ア－トコ－ト早稲田戸山公園,東京都新宿区戸山３,24,5階,213000.0,15000,3,63.952,https://suumo.jp/chintai/jnc_000076734273/?bc=100305208658,213000.0,213000.0,都営大江戸線,若松河田駅,5.0,1,0,1,0,新宿区,戸山３,139508.97960209707,88491.02039790293,228000.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,東京都新宿区四谷４,0,5階,252000.0,10000,1,38.172,https://suumo.jp/chintai/jnc_000079080792/?bc=100312734942,252000.0,252000.0,東京メトロ丸ノ内線,四谷三丁目駅,5.0,1,0,1,0,新宿区,四谷４,139809.0682003257,122190.9317996743,262000.0
東京メトロ丸ノ内線 新宿御苑前駅 7階建 築7年,東京都新宿区新宿１,7,3階,208000.0,15000,1,41.552,https://suumo.jp/chintai/jnc_000079012427/?bc=100316906908,416000.0,208000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,1,0,新宿区,新宿１,139911.94961838622,83088.0503816138,223000.0
東京メトロ丸ノ内線 新宿御苑前駅 7階建 築7年,東京都新宿区新宿１,7,3階,208000.0,15000,1,41.552,https://suumo.jp/chintai/jnc_000080262666/?bc=100307869395,416000.0,208000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,1,0,新宿区,新宿１,139911.94961838622,83088.0503816138,223000.0
プラウド市ヶ谷南町,東京都新宿区南町,12,4階,270000.0,10000,2,61.12,https://suumo.jp/chintai/jnc_000064808151/?bc=100319422069,270000.0,270000.0,都営大江戸線,牛込神楽坂駅,4.0,1,0,1,0,新宿区,南町,139991.2910139255,140008.7089860745,280000.0
プラウド市ヶ谷南町,東京都新宿区南町,12,4階,270000.0,10000,2,61.12,https://suumo.jp/chintai/jnc_000080896033/?bc=100319433626,270000.0,270000.0,都営大江戸線,牛込神楽坂駅,4.0,1,0,1,0,新宿区,南町,140255.40728118853,139744.59271881147,280000.0
都営大江戸線 都庁前駅 地下1地上27階建 築15年,東京都新宿区西新宿４,15,10階,215000.0,15000,1,41.92,https://suumo.jp/chintai/jnc_000080179247/?bc=100315331465,430000.0,0.0,都営大江戸線,都庁前駅,10.0,1,0,1,0,新宿区,西新宿４,140308.63320879918,89691.36679120084,230000.0
プレール・ドゥーク新宿Ｗｅｓｔ,東京都新宿区北新宿２,3,5階,229000.0,15000,1,40.552,https://suumo.jp/chintai/jnc_000078070750/?bc=100303905501,229000.0,0.0,東京メトロ丸ノ内線,西新宿駅,5.0,1,0,1,0,新宿区,北新宿２,140373.40769318904,103626.59230681097,244000.0
エムアンドエヌビルディング,東京都新宿区市谷台町,0,4階,270000.0,10000,2,54.382,https://suumo.jp/chintai/jnc_000080781157/?bc=100319322706,270000.0,270000.0,都営新宿線,曙橋駅,4.0,1,0,1,0,新宿区,市谷台町,140583.69230532355,139416.30769467645,280000.0
ハーモニーレジデンス新宿四谷,東京都新宿区大京町,4,3階,194000.0,20000,1,40.762,https://suumo.jp/chintai/jnc_000079182814/?bc=100288435096,0.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,1,0,新宿区,大京町,140603.34936190624,73396.65063809375,214000.0
グランスイート四谷二丁目レジデンス,東京都新宿区四谷２,9,12階,255000.0,25000,2,54.042,https://suumo.jp/chintai/jnc_000079590685/?bc=100313030100,255000.0,255000.0,東京メトロ丸ノ内線,四谷三丁目駅,12.0,1,0,1,0,新宿区,四谷２,140762.47593902695,139237.52406097305,280000.0
シティタワー新宿新都心,東京都新宿区西新宿４,19,5階,198000.0,10000,1,38.282,https://suumo.jp/chintai/jnc_000060716064/?bc=100308499991,0.0,0.0,都営大江戸線,西新宿五丁目駅,5.0,0,0,0,0,新宿区,西新宿４,140845.19545269676,67154.80454730323,208000.0
都営新宿線 曙橋駅 6階建 築3年,東京都新宿区市谷仲之町,3,6階,230000.0,9000,1,46.482,https://suumo.jp/chintai/jnc_000080323892/?bc=100316002393,230000.0,230000.0,都営新宿線,曙橋駅,6.0,1,0,1,0,新宿区,市谷仲之町,140875.46626452147,98124.53373547853,239000.0
オープンレジデンシア神楽坂若宮町,東京都新宿区若宮町,7,1階,188000.0,20000,1,40.572,https://suumo.jp/chintai/jnc_000080156196/?bc=100315301139,188000.0,188000.0,ＪＲ総武線,飯田橋駅,1.0,1,0,1,0,新宿区,若宮町,141163.1993440098,66836.8006559902,208000.0
ザ・パークハウス新宿タワー,東京都新宿区北新宿２,12,9階,290000.0,0,2,61.022,https://suumo.jp/chintai/jnc_000063048019/?bc=100317573002,290000.0,290000.0,東京メトロ丸ノ内線,西新宿駅,9.0,1,0,1,0,新宿区,北新宿２,141205.65914419628,148794.34085580372,290000.0
サンシャインマンション,東京都新宿区北新宿２,0,2階,210000.0,3000,2,52.892,https://suumo.jp/chintai/jnc_000080800883/?bc=100318111106,210000.0,210000.0,東京メトロ丸ノ内線,西新宿駅,2.0,1,0,1,0,新宿区,北新宿２,141257.5915634821,71742.4084365179,213000.0
ランテンヌ四谷,東京都新宿区若葉１,15,4階,200000.0,10000,1,41.992,https://suumo.jp/chintai/jnc_000080927550/?bc=100319568429,200000.0,200000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,1,0,1,0,新宿区,若葉１,141395.79871580418,68604.20128419582,210000.0
トレステージ四谷,東京都新宿区左門町,15,10階,262000.0,12000,1,64.932,https://suumo.jp/chintai/jnc_000079226160/?bc=100228573589,262000.0,262000.0,東京メトロ丸ノ内線,四谷三丁目駅,10.0,1,0,1,0,新宿区,左門町,141466.53020039626,132533.46979960374,274000.0
都営大江戸線 若松河田駅 地下2地上41階建 築21年,東京都新宿区河田町,21,29階,258600.0,10000,1,56.142,https://suumo.jp/chintai/jnc_000077567537/?bc=100311590626,0.0,0.0,都営大江戸線,若松河田駅,29.0,0,1,0,0,新宿区,河田町,141469.86938087118,127130.13061912882,268600.0
都営大江戸線 都庁前駅 地下1地上27階建 築15年,東京都新宿区西新宿４,15,14階,215000.0,15000,1,41.92,https://suumo.jp/chintai/jnc_000080662941/?bc=100318090653,430000.0,0.0,都営大江戸線,都庁前駅,14.0,1,0,1,0,新宿区,西新宿４,141487.89843374427,88512.10156625573,230000.0
グランスイート四谷プレシア,東京都新宿区愛住町,10,2階,222000.0,15000,2,49.392,https://suumo.jp/chintai/jnc_000080858448/?bc=100319037831,222000.0,222000.0,東京メトロ丸ノ内線,四谷三丁目駅,2.0,1,0,1,0,新宿区,愛住町,141602.6351124972,95397.36488750282,237000.0
都営新宿線 曙橋駅 地下2地上3階建 築32年,東京都新宿区市谷仲之町,32,2階,213000.0,15000,2,72.222,https://suumo.jp/chintai/jnc_000080626395/?bc=100317874751,213000.0,213000.0,都営新宿線,曙橋駅,2.0,1,0,1,0,新宿区,市谷仲之町,141645.21614016313,86354.78385983688,228000.0
シティタワー新宿,東京都新宿区西新宿５,0,18階,240000.0,10000,1,38.322,https://suumo.jp/chintai/jnc_000080630894/?bc=100317065608,240000.0,240000.0,東京メトロ丸ノ内線,西新宿駅,18.0,0,1,0,0,新宿区,西新宿５,141716.07530896005,108283.92469103997,250000.0
シティタワー新宿,東京都新宿区西新宿５,0,20階,250000.0,0,1,38.322,https://suumo.jp/chintai/jnc_000080630903/?bc=100316985251,250000.0,250000.0,東京メトロ丸ノ内線,西新宿駅,20.0,0,0,0,0,新宿区,西新宿５,141716.07530896005,108283.92469103997,250000.0
ディアレイシャス神楽坂,東京都新宿区矢来町,0,5階,221000.0,12000,1,40.12,https://suumo.jp/chintai/jnc_000075484054/?bc=100317007131,0.0,0.0,東京メトロ東西線,神楽坂駅,5.0,1,0,1,0,新宿区,矢来町,141716.43756082281,91283.56243917717,233000.0
都営大江戸線 都庁前駅 地下1地上27階建 築15年,東京都新宿区西新宿４,15,10階,215000.0,15000,1,41.92,https://suumo.jp/chintai/jnc_000080662940/?bc=100318090524,430000.0,0.0,都営大江戸線,都庁前駅,10.0,1,0,1,0,新宿区,西新宿４,141843.06427127193,88156.93572872807,230000.0
ヒューリックレジデンス新宿戸山,東京都新宿区新宿７,9,3階,262000.0,10000,2,62.272,https://suumo.jp/chintai/jnc_000068169358/?bc=100249809604,262000.0,262000.0,都営大江戸線,東新宿駅,3.0,1,0,1,0,新宿区,新宿７,141880.37000294082,130119.62999705918,272000.0
ＪＲ山手線 高田馬場駅 3階建 築40年,東京都新宿区高田馬場４,40,1階,220000.0,0,2,60.72,https://suumo.jp/chintai/jnc_000079364316/?bc=100311393213,220000.0,220000.0,ＪＲ山手線,高田馬場駅,1.0,1,0,1,0,新宿区,高田馬場４,142062.25369146926,77937.74630853074,220000.0
東京メトロ丸ノ内線 四谷三丁目駅 4階建 築3年,東京都新宿区荒木町,3,3階,230000.0,30000,2,61.112,https://suumo.jp/chintai/jnc_000080562008/?bc=100317504288,230000.0,230000.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,1,0,新宿区,荒木町,142352.80448556427,117647.19551443573,260000.0
ＰＡＳＥＯ四谷三丁目,東京都新宿区舟町,3,3階,190000.0,20000,1,43.032,https://suumo.jp/chintai/jnc_000076331294/?bc=100290127505,0.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,1,0,新宿区,舟町,142480.39689570642,67519.60310429358,210000.0
ジオ新宿百人町,東京都新宿区百人町２,4,6階,235000.0,15000,1,41.872,https://suumo.jp/chintai/jnc_000080846372/?bc=100319086384,235000.0,235000.0,ＪＲ中央線,大久保駅,6.0,1,0,1,0,新宿区,百人町２,142654.6054704503,107345.3945295497,250000.0
パークコート四谷,東京都新宿区大京町,21,4階,210000.0,10000,1,52.262,https://suumo.jp/chintai/jnc_000079769600/?bc=100313068328,210000.0,210000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,1,0,1,0,新宿区,大京町,142672.04813695143,77327.95186304857,220000.0
プラティーヌ新宿新都心,東京都新宿区西新宿４,15,12階,215000.0,15000,1,41.912,https://suumo.jp/chintai/jnc_000080636185/?bc=100317994484,430000.0,0.0,都営大江戸線,西新宿五丁目駅,12.0,1,0,1,0,新宿区,西新宿４,142721.0543571377,87278.94564286231,230000.0
エステムプラザ市谷外濠公園,東京都新宿区市谷本村町,9,2階,205000.0,10500,1,40.982,https://suumo.jp/chintai/jnc_000075390195/?bc=100287009050,0.0,205000.0,ＪＲ総武線,市ケ谷駅,2.0,1,0,1,0,新宿区,市谷本村町,142774.1348750564,72725.86512494362,215500.0
Ｋａｇｕｒａｚａｋａ　Ｔｅｒｒａｃｅ,東京都新宿区北町,3,2階,265000.0,5000,1,56.012,https://suumo.jp/chintai/jnc_000078968554/?bc=100308845930,0.0,265000.0,都営大江戸線,牛込神楽坂駅,2.0,1,0,1,0,新宿区,北町,143006.500484219,126993.49951578102,270000.0
都営大江戸線 牛込柳町駅 地下1地上30階建 築16年,東京都新宿区原町３,16,1階,280000.0,15000,2,74.262,https://suumo.jp/chintai/jnc_000078088738/?bc=100312317737,560000.0,0.0,都営大江戸線,牛込柳町駅,1.0,1,0,1,1,新宿区,原町３,143010.386065496,151989.613934504,295000.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,東京都新宿区四谷４,0,4階,237000.0,10000,1,43.172,https://suumo.jp/chintai/jnc_000080401510/?bc=100316772054,237000.0,237000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,1,0,1,0,新宿区,四谷４,143050.53172042457,103949.46827957543,247000.0
東京メトロ南北線 四ツ谷駅 2階建 築47年,東京都新宿区四谷坂町,47,1-2階,236000.0,0,2,74.252,https://suumo.jp/chintai/jnc_000076577985/?bc=100281690446,472000.0,236000.0,東京メトロ南北線,四ツ谷駅,1.0,1,0,1,0,新宿区,四谷坂町,143071.56938842684,92928.43061157316,236000.0
都営大江戸線 東新宿駅 地下1地上32階建 築12年,東京都新宿区新宿６,12,17階,274000.0,0,1,42.512,https://suumo.jp/chintai/jnc_000080662922/?bc=100318062491,548000.0,0.0,都営大江戸線,東新宿駅,17.0,1,0,1,0,新宿区,新宿６,143089.80933797636,130910.19066202364,274000.0
東京メトロ副都心線 東新宿駅 地下1地上7階建 築24年,東京都新宿区新宿７,24,3階,260000.0,0,3,71.452,https://suumo.jp/chintai/jnc_000078201191/?bc=100307956595,520000.0,520000.0,東京メトロ副都心線,東新宿駅,3.0,1,0,1,0,新宿区,新宿７,143138.61562974597,116861.38437025403,260000.0
オルタナ神楽坂1,東京都新宿区西五軒町,5,1階,203000.0,15000,1,40.062,https://suumo.jp/chintai/jnc_000075030020/?bc=100315998879,0.0,0.0,東京メトロ東西線,神楽坂駅,1.0,1,0,1,0,新宿区,西五軒町,143534.38076062364,74465.61923937636,218000.0
ハンドレッドステイレジデンス,東京都新宿区百人町２,31,7階,203000.0,12000,1,52.892,https://suumo.jp/chintai/jnc_000075713589/?bc=100311016496,203000.0,0.0,ＪＲ総武線,大久保駅,7.0,1,0,1,0,新宿区,百人町２,143614.44499091626,71385.55500908374,215000.0
信濃町ハイム,東京都新宿区南元町,45,3階,205000.0,0,2,54.992,https://suumo.jp/chintai/jnc_000068312093/?bc=100317290644,205000.0,205000.0,ＪＲ中央線,信濃町駅,3.0,1,0,1,0,新宿区,南元町,143659.07435494434,61340.92564505564,205000.0
リンバ新宿御苑,東京都新宿区新宿１,7,3階,208000.0,15000,1,41.552,https://suumo.jp/chintai/jnc_000078663958/?bc=100306939184,416000.0,208000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,1,0,新宿区,新宿１,143791.07715625444,79208.92284374555,223000.0
フロンティア新宿タワー,東京都新宿区西新宿３,6,9階,271000.0,15000,1,54.292,https://suumo.jp/chintai/jnc_000077529999/?bc=100301131789,271000.0,0.0,京王新線,初台駅,9.0,1,0,1,0,新宿区,西新宿３,143800.90854300835,142199.09145699165,286000.0
ラ・トゥール新宿アネックス,東京都新宿区西新宿６,4,4階,250000.0,0,1,38.52,https://suumo.jp/chintai/jnc_000080291096/?bc=100315953319,500000.0,0.0,都営大江戸線,西新宿五丁目駅,4.0,0,0,0,0,新宿区,西新宿６,144021.48290788522,105978.51709211478,250000.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,東京都新宿区四谷４,0,3階,256000.0,12000,2,49.72,https://suumo.jp/chintai/jnc_000079080773/?bc=100309534851,256000.0,256000.0,東京メトロ丸ノ内線,四谷三丁目駅,3.0,1,0,1,0,新宿区,四谷４,144047.07152367907,123952.92847632091,268000.0
東京メトロ丸ノ内線 西新宿駅 7階建 築3年,東京都新宿区北新宿２,3,2階,203000.0,15000,1,40.552,https://suumo.jp/chintai/jnc_000079819793/?bc=100314213846,203000.0,0.0,東京メトロ丸ノ内線,西新宿駅,2.0,1,0,1,0,新宿区,北新宿２,144147.5689007173,73852.43109928271,218000.0
エムアンドエヌビルディング,東京都新宿区市谷台町,0,5階,270000.0,10000,2,54.382,https://suumo.jp/chintai/jnc_000080781158/?bc=100319322647,270000.0,270000.0,都営新宿線,曙橋駅,5.0,1,0,1,0,新宿区,市谷台町,144193.98197697333,135806.01802302667,280000.0
東京メトロ丸ノ内線 四谷三丁目駅 地下1地上11階建 築19年,東京都新宿区左門町,19,10階,210000.0,10000,1,45.772,https://suumo.jp/chintai/jnc_000060100554/?bc=100314205767,210000.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,10.0,1,0,1,0,新宿区,左門町,144211.85182910025,75788.14817089975,220000.0
シーフォルム東新宿II,東京都新宿区大久保１,5,4階,221000.0,10500,1,412.0,https://suumo.jp/chintai/jnc_000078280072/?bc=100305914438,0.0,221000.0,東京メトロ副都心線,東新宿駅,4.0,1,0,1,0,新宿区,大久保１,144301.46977628986,87198.53022371014,231500.0
都営大江戸線 牛込神楽坂駅 5階建 築12年,東京都新宿区南町,12,4階,270000.0,10000,2,61.12,https://suumo.jp/chintai/jnc_000080933840/?bc=100319631719,270000.0,270000.0,都営大江戸線,牛込神楽坂駅,4.0,1,0,1,0,新宿区,南町,144348.55376445834,135651.44623554166,280000.0
グランスイート神楽坂,東京都新宿区天神町,19,7階,285000.0,0,2,67.572,https://suumo.jp/chintai/jnc_000079104432/?bc=100306549034,570000.0,285000.0,東京メトロ東西線,神楽坂駅,7.0,1,0,1,0,新宿区,天神町,144530.61447343454,140469.38552656546,285000.0
リンバ新宿御苑,東京都新宿区新宿１,7,3階,208000.0,15000,1,41.552,https://suumo.jp/chintai/jnc_000078535649/?bc=100306312776,416000.0,208000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,1,0,新宿区,新宿１,144611.1012068555,78388.89879314449,223000.0
東京メトロ丸ノ内線 新宿御苑前駅 地下2地上10階建 築4年,東京都新宿区内藤町,4,5階,200000.0,10000,1,40.782,https://suumo.jp/chintai/jnc_000080148241/?bc=100315350071,200000.0,300000.0,東京メトロ丸ノ内線,新宿御苑前駅,5.0,1,0,1,0,新宿区,内藤町,144643.98779970288,65356.012200297126,210000.0
アルファホームズ新神楽坂アスティオン,東京都新宿区袋町,25,9階,250000.0,20000,2,61.692,https://suumo.jp/chintai/jnc_000080033477/?bc=100313027791,500000.0,250000.0,都営大江戸線,牛込神楽坂駅,9.0,1,0,1,0,新宿区,袋町,144919.80234042404,125080.19765957598,270000.0
東京メトロ丸ノ内線 西新宿駅 7階建 築3年,東京都新宿区北新宿２,3,2階,203000.0,15000,1,41.062,https://suumo.jp/chintai/jnc_000079226155/?bc=100318868942,203000.0,0.0,東京メトロ丸ノ内線,西新宿駅,2.0,1,0,1,0,新宿区,北新宿２,144933.1201242117,73066.87987578828,218000.0
エトワールフルール,東京都新宿区北新宿４,0,4階,245000.0,0,2,60.192,https://suumo.jp/chintai/jnc_000078878925/?bc=100308500140,245000.0,245000.0,ＪＲ中央線,東中野駅,4.0,1,0,1,0,新宿区,北新宿４,144975.78436378547,100024.21563621453,245000.0
リンバ新宿御苑,東京都新宿区新宿１,7,3階,208000.0,15000,1,41.552,https://suumo.jp/chintai/jnc_000078545881/?bc=100306273790,416000.0,208000.0,東京メトロ丸ノ内線,新宿御苑前駅,3.0,1,0,1,0,新宿区,新宿１,145091.03244195782,77908.96755804218,223000.0
アズミュージック新宿御苑,東京都新宿区大京町,4,2階,232500.0,7500,1,38.082,https://suumo.jp/chintai/jnc_000060042433/?bc=100312300600,232500.0,0.0,都営大江戸線,国立競技場駅,2.0,1,0,1,0,新宿区,大京町,145289.02431326322,94710.97568673678,240000.0
都営新宿線 曙橋駅 6階建 築3年,東京都新宿区市谷仲之町,3,6階,230000.0,9000,1,46.482,https://suumo.jp/chintai/jnc_000080318650/?bc=100316030378,230000.0,230000.0,都営新宿線,曙橋駅,6.0,1,0,1,0,新宿区,市谷仲之町,145312.79168140813,93687.20831859189,239000.0
都営大江戸線 牛込柳町駅 6階建 築21年,東京都新宿区南町,21,3階,220000.0,0,1,55.392,https://suumo.jp/chintai/jnc_000080643533/?bc=100286678464,220000.0,0.0,都営大江戸線,牛込柳町駅,3.0,1,0,1,0,新宿区,南町,145617.73030117934,74382.26969882066,220000.0
ＬＡＰｉＳ四谷三丁目,東京都新宿区愛住町,8,1階,218000.0,9000,2,50.722,https://suumo.jp/chintai/jnc_000080298343/?bc=100315992143,0.0,0.0,東京メトロ丸ノ内線,四谷三丁目駅,1.0,1,0,1,0,新宿区,愛住町,145696.93740080507,81303.06259919493,227000.0
都営新宿線 曙橋駅 7階建 築10年,東京都新宿区四谷坂町,10,3階,275000.0,15000,2,69.732,https://suumo.jp/chintai/jnc_000080247203/?bc=100315684584,550000.0,275000.0,都営新宿線,曙橋駅,3.0,1,0,1,0,新宿区,四谷坂町,145839.54435924708,144160.45564075292,290000.0
都営大江戸線 牛込神楽坂駅 5階建 築12年,東京都新宿区南町,12,4階,270000.0,10000,2,61.12,https://suumo.jp/chintai/jnc_000080912836/?bc=100319490404,270000.0,270000.0,都営大江戸線,牛込神楽坂駅,4.0,1,0,1,0,新宿区,南町,145898.71302909352,134101.28697090648,280000.0
ライオンズ新宿中落合,東京都新宿区中落合３,12,8階,265000.0,15000,2,67.252,https://suumo.jp/chintai/jnc_000080927535/?bc=100319575535,530000.0,265000.0,西武池袋線,椎名町駅,8.0,1,0,1,0,新宿区,中落合３,145983.13159255998,134016.86840744002,280000.0
東京メトロ東西線 神楽坂駅 10階建 築2年,東京都新宿区市谷柳町,2,10階,247000.0,10000,2,50.342,https://suumo.jp/chintai/jnc_000070049903/?bc=100312542834,0.0,0.0,東京メトロ東西線,神楽坂駅,10.0,1,0,1,0,新宿区,市谷柳町,146204.92309110754,110795.07690889246,257000.0
東京メトロ丸ノ内線 西新宿駅 地下2地上60階建 築6年,東京都新宿区西新宿５,6,8階,231000.0,10000,1,46.72,https://suumo.jp/chintai/jnc_000080888383/?bc=100319407234,231000.0,231000.0,東京メトロ丸ノ内線,西新宿駅,8.0,1,0,1,0,新宿区,西新宿５,146262.19028831518,94737.80971168484,241000.0
ウィントンベリーハウス四谷,東京都新宿区若葉１,16,2-3階,220000.0,5000,2,62.992,https://suumo.jp/chintai/jnc_000079394332/?bc=100288808771,220000.0,440000.0,ＪＲ中央線,四ツ谷駅,2.0,1,0,1,0,新宿区,若葉１,146482.3713844387,78517.6286155613,225000.0
東京メトロ丸ノ内線 四谷三丁目駅 5階建 新築,東京都新宿区四谷４,0,4階,273000.0,12000,2,49.72,https://suumo.jp/chintai/jnc_000080410359/?bc=100316627303,273000.0,273000.0,東京メトロ丸ノ内線,四谷三丁目駅,4.0,1,0,1,0,新宿区,四谷４,146682.39581102008,138317.60418897992,285000.0
